Entry	Entry name	PubMed ID
Q9BVJ7	DUS23_HUMAN	15281913; 14702039; 16710414; 15489334; 15201283; 15147733; 21269460; 25944712; 18245086
Q9HCU8	DPOD4_HUMAN	10751307; 16554811; 15489334; 12403614; 12522211; 15670210; 16934752; 16510448; 17317665; 19074196; 20334433; 22801543; 24035200; 23233665; 23913683; 24022480; 24300032; 24310611
Q9NRF9	DPOE3_HUMAN	10880450; 10801849; 14702039; 15164053; 15489334; 18669648; 19413330; 20068231; 21269460; 21406692
Q16828	DUS6_HUMAN	8670865; 9858808; 15489334; 10048930; 23643382; 29043977
O95936	EOMES_HUMAN	10407135; 14702039; 18316326; 16641997; 9888994; 15489334; 17566017; 17353897; 19690332; 16959974
P06733	ENOA_HUMAN	3529090; 2373081; 2005901; 8824716; 14702039; 17974005; 16710414; 15489334; 9150948; 9653645; 9110174; 1369209; 7787969; 10082554; 10802057; 12666133; 9308760; 9878089; 10681589; 11497239; 11134351; 12297304; 16139798; 15592455; 16548883; 16815975; 18669648; 19690332; 19608861; 20068231; 21269460; 21908771; 22905912; 23186163; 24275569; 25944712; 28112733; 28813417; 29775581; 18560153
Q9NRW4	DUS22_HUMAN	11717427; 14702039; 14574404; 15489334; 20553486; 23186163; 17068812
Q9UM22	EPDR1_HUMAN	11749721; 14702039; 12853948; 15489334; 19159218; 25944712; 30729188
O75822	EIF3J_HUMAN	9822659; 14702039; 16572171; 15489334; 14519125; 14688252; 15703437; 17081983; 16766523; 16964243; 17190833; 17924679; 17588516; 17322308; 18669648; 18599441; 19413330; 19369195; 19690332; 20068231; 21269460; 21406692; 22223895; 22814378; 23186163; 24275569; 25849773; 25944712; 27462815; 28112733; 16322461; 
A0A087WX78	ELB3C_HUMAN	16177791
P20827	EFNA1_HUMAN	2233719; 16710414; 15489334; 15340161; 7838529; 17332925; 18794797; 23661698; 19525919; 20505120
Q3ZCQ3	F174B_HUMAN	14702039; 16572171; 15489334; 29851555
Q9H8W3	F204A_HUMAN	14702039; 15164054; 15489334
A6NEQ2	F181B_HUMAN	16554811; 15489334
Q5VUB5	F1711_HUMAN	15164054; 15489334; 18318008; 19159218; 23186163; 24275569; 30312582
P0C7V4	F90AJ_HUMAN	16421571
Q6PEV8	F199X_HUMAN	15772651; 15489334; 18669648; 23186163
Q6UXB0	F131A_HUMAN	12975309; 16641997; 15489334; 16959974
P0C2L3	F163B_HUMAN	15164053; 15489334
A8MTA8	F166B_HUMAN	15164053; 15489334
P0CF97	F200B_HUMAN	15815621
A6NFA0	F205C_HUMAN	15164053
Q96PV7	F193B_HUMAN	11572484; 14702039; 17974005; 15372022; 15489334; 21177767; 23186163
A1A519	F170A_HUMAN	20162441; 15372022; 15489334
P98173	FAM3A_HUMAN	8248200; 8733135; 14702039; 15772651; 15489334; 12160727
Q8N8J7	F241A_HUMAN	14702039; 15815621; 15489334
P00740	FA9_HUMAN	6959130; 6687940; 6329734; 2994716; 3857619; 14702039; 15772651; 15489334; 8295821; 6089357; 2592373; 9169594; 3340835; 8236150; 6688526; 659613; 6425296; 2511201; 2129367; 1730085; 1517205; 8172892; 11133752; 12444082; 25456591; 24275569; 7713897; 7547952; 8663165; 9047312; 1854745; 1304885; 7606779; 10467148; 14722079; 20004170; 20121198; 20121197; 20080729; 2743975; 1634040; 8392713; 6603618; 3009023; 3790720; 3401602; 3243764; 2713493; 2714791; 2773937; 2775660; 2753873; 2738071; 2472424; 2339358; 2372509; 2162822; 1958666; 1902289; 1346975; 1615485; 8257988; 8076946; 8199596; 7981722; 8680410; 8833911; 9222764; 9590153; 9452115; 9600455; 10698280; 10094553; 10391209; 11122099; 12588353; 12604421; 19846852; 25470321; 25251685
